sample_id,filename,duration,sample_rate,speaker_id,chapter_id,source_path
001,sample_001.wav,12.2,16000,174,84280,dev-clean/174/84280/174-84280-0002.flac
002,sample_002.wav,13.6,16000,777,126732,dev-clean/777/126732/777-126732-0024.flac
003,sample_003.wav,14.93,16000,422,122949,dev-clean/422/122949/422-122949-0007.flac
004,sample_004.wav,7.895,16000,1988,24833,dev-clean/1988/24833/1988-24833-0001.flac
005,sample_005.wav,8.3,16000,2803,154328,dev-clean/2803/154328/2803-154328-0009.flac
006,sample_006.wav,7.75,16000,5338,284437,dev-clean/5338/284437/5338-284437-0031.flac
007,sample_007.wav,7.77,16000,5895,34615,dev-clean/5895/34615/5895-34615-0010.flac
008,sample_008.wav,5.35,16000,2035,147961,dev-clean/2035/147961/2035-147961-0039.flac
009,sample_009.wav,7.72,16000,6345,64257,dev-clean/6345/64257/6345-64257-0019.flac
010,sample_010.wav,9.375,16000,5536,43363,dev-clean/5536/43363/5536-43363-0004.flac
011,sample_011.wav,10.265,16000,3000,15664,dev-clean/3000/15664/3000-15664-0040.flac
012,sample_012.wav,5.425,16000,251,137823,dev-clean/251/137823/251-137823-0020.flac
013,sample_013.wav,5.655,16000,3081,166546,dev-clean/3081/166546/3081-166546-0007.flac
014,sample_014.wav,7.47,16000,2428,83705,dev-clean/2428/83705/2428-83705-0004.flac
015,sample_015.wav,9.645,16000,1462,170138,dev-clean/1462/170138/1462-170138-0021.flac
016,sample_016.wav,5.355,16000,2078,142845,dev-clean/2078/142845/2078-142845-0046.flac
017,sample_017.wav,6.195,16000,6313,76958,dev-clean/6313/76958/6313-76958-0018.flac
018,sample_018.wav,10.08,16000,6295,64301,dev-clean/6295/64301/6295-64301-0011.flac
019,sample_019.wav,8.37,16000,6319,57405,dev-clean/6319/57405/6319-57405-0003.flac
020,sample_020.wav,10.46,16000,3576,138058,dev-clean/3576/138058/3576-138058-0028.flac
021,sample_021.wav,7.675,16000,7850,73752,dev-clean/7850/73752/7850-73752-0015.flac
022,sample_022.wav,5.58,16000,2086,149220,dev-clean/2086/149220/2086-149220-0029.flac
023,sample_023.wav,10.21,16000,3752,4944,dev-clean/3752/4944/3752-4944-0069.flac
024,sample_024.wav,6.82,16000,3170,137482,dev-clean/3170/137482/3170-137482-0036.flac
025,sample_025.wav,8.265,16000,84,121550,dev-clean/84/121550/84-121550-0002.flac
026,sample_026.wav,6.1,16000,7976,110523,dev-clean/7976/110523/7976-110523-0003.flac
027,sample_027.wav,12.16,16000,2277,149897,dev-clean/2277/149897/2277-149897-0034.flac
028,sample_028.wav,6.825,16000,2902,9008,dev-clean/2902/9008/2902-9008-0012.flac
029,sample_029.wav,5.405,16000,1919,142785,dev-clean/1919/142785/1919-142785-0012.flac
030,sample_030.wav,5.8,16000,3853,163249,dev-clean/3853/163249/3853-163249-0019.flac
031,sample_031.wav,5.65,16000,1272,141231,dev-clean/1272/141231/1272-141231-0028.flac
032,sample_032.wav,9.385,16000,3536,8226,dev-clean/3536/8226/3536-8226-0018.flac
033,sample_033.wav,8.43,16000,1673,143396,dev-clean/1673/143396/1673-143396-0017.flac
034,sample_034.wav,7.57,16000,652,130737,dev-clean/652/130737/652-130737-0002.flac
035,sample_035.wav,9.515,16000,2412,153947,dev-clean/2412/153947/2412-153947-0003.flac
036,sample_036.wav,5.065,16000,5694,64025,dev-clean/5694/64025/5694-64025-0015.flac
037,sample_037.wav,6.32,16000,6241,66616,dev-clean/6241/66616/6241-66616-0022.flac
038,sample_038.wav,10.515,16000,1993,147964,dev-clean/1993/147964/1993-147964-0005.flac
039,sample_039.wav,10.22,16000,8297,275154,dev-clean/8297/275154/8297-275154-0000.flac
040,sample_040.wav,8.755,16000,8842,304647,dev-clean/8842/304647/8842-304647-0011.flac
041,sample_041.wav,9.73,16000,174,84280,dev-clean/174/84280/174-84280-0007.flac
042,sample_042.wav,7.03,16000,174,84280,dev-clean/174/84280/174-84280-0006.flac
043,sample_043.wav,13.73,16000,174,84280,dev-clean/174/84280/174-84280-0015.flac
044,sample_044.wav,8.61,16000,174,84280,dev-clean/174/84280/174-84280-0005.flac
045,sample_045.wav,7.445,16000,174,84280,dev-clean/174/84280/174-84280-0003.flac
046,sample_046.wav,14.43,16000,174,84280,dev-clean/174/84280/174-84280-0012.flac
047,sample_047.wav,7.93,16000,174,168635,dev-clean/174/168635/174-168635-0005.flac
048,sample_048.wav,10.21,16000,174,168635,dev-clean/174/168635/174-168635-0007.flac
049,sample_049.wav,6.57,16000,174,168635,dev-clean/174/168635/174-168635-0006.flac
050,sample_050.wav,8.36,16000,174,168635,dev-clean/174/168635/174-168635-0012.flac
051,sample_051.wav,12.77,16000,174,168635,dev-clean/174/168635/174-168635-0004.flac
052,sample_052.wav,7.06,16000,174,168635,dev-clean/174/168635/174-168635-0016.flac
053,sample_053.wav,8.0,16000,174,168635,dev-clean/174/168635/174-168635-0019.flac
054,sample_054.wav,5.87,16000,174,168635,dev-clean/174/168635/174-168635-0013.flac
055,sample_055.wav,10.235,16000,174,168635,dev-clean/174/168635/174-168635-0008.flac
056,sample_056.wav,10.06,16000,174,168635,dev-clean/174/168635/174-168635-0010.flac
057,sample_057.wav,13.18,16000,174,168635,dev-clean/174/168635/174-168635-0003.flac
058,sample_058.wav,5.705,16000,174,50561,dev-clean/174/50561/174-50561-0005.flac
059,sample_059.wav,10.855,16000,174,50561,dev-clean/174/50561/174-50561-0007.flac
060,sample_060.wav,10.615,16000,174,50561,dev-clean/174/50561/174-50561-0013.flac
061,sample_061.wav,14.91,16000,174,50561,dev-clean/174/50561/174-50561-0010.flac
062,sample_062.wav,5.215,16000,174,50561,dev-clean/174/50561/174-50561-0006.flac
063,sample_063.wav,13.455,16000,174,50561,dev-clean/174/50561/174-50561-0016.flac
064,sample_064.wav,9.52,16000,174,50561,dev-clean/174/50561/174-50561-0011.flac
065,sample_065.wav,5.85,16000,777,126732,dev-clean/777/126732/777-126732-0032.flac
066,sample_066.wav,12.77,16000,777,126732,dev-clean/777/126732/777-126732-0028.flac
067,sample_067.wav,10.975,16000,777,126732,dev-clean/777/126732/777-126732-0057.flac
068,sample_068.wav,10.09,16000,777,126732,dev-clean/777/126732/777-126732-0041.flac
069,sample_069.wav,6.16,16000,777,126732,dev-clean/777/126732/777-126732-0059.flac
070,sample_070.wav,11.12,16000,777,126732,dev-clean/777/126732/777-126732-0005.flac
071,sample_071.wav,11.065,16000,777,126732,dev-clean/777/126732/777-126732-0031.flac
072,sample_072.wav,9.45,16000,777,126732,dev-clean/777/126732/777-126732-0003.flac
073,sample_073.wav,11.595,16000,777,126732,dev-clean/777/126732/777-126732-0066.flac
074,sample_074.wav,5.06,16000,777,126732,dev-clean/777/126732/777-126732-0002.flac
075,sample_075.wav,7.42,16000,777,126732,dev-clean/777/126732/777-126732-0014.flac
076,sample_076.wav,5.585,16000,777,126732,dev-clean/777/126732/777-126732-0035.flac
077,sample_077.wav,5.975,16000,777,126732,dev-clean/777/126732/777-126732-0048.flac
078,sample_078.wav,10.04,16000,777,126732,dev-clean/777/126732/777-126732-0079.flac
079,sample_079.wav,5.245,16000,777,126732,dev-clean/777/126732/777-126732-0067.flac
080,sample_080.wav,11.975,16000,777,126732,dev-clean/777/126732/777-126732-0045.flac
081,sample_081.wav,9.18,16000,777,126732,dev-clean/777/126732/777-126732-0025.flac
082,sample_082.wav,9.51,16000,777,126732,dev-clean/777/126732/777-126732-0015.flac
083,sample_083.wav,7.45,16000,777,126732,dev-clean/777/126732/777-126732-0011.flac
